form	lemma	POS	morph
LIBER	Liber	NOMpro	Case=Nom|Numb=Sing
PRIMVS	Primus	NOMpro	Case=Nom|Numb=Sing|Deg=Sup
Si	si2	CONsub	MORPH=empty
tanta	tantus	PROdem	Case=Nom|Numb=Sing|Gend=Fem
in	in	PRE	MORPH=empty
terris	terra	NOMcom	Case=Abl|Numb=Plur
moraretur	moror1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Dep|Person=3
fides	fides2	NOMcom	Case=Nom|Numb=Sing
quanta	quantus1	PROrel	Case=Nom|Numb=Sing|Gend=Fem
merces	merces	NOMcom	Case=Nom|Numb=Sing
eius	is	PROdem	Case=Gen|Numb=Sing|Gend=Com
expectatur	exspecto	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
in	in	PRE	MORPH=empty
caelis	caelum1	NOMcom	Case=Abl|Numb=Plur
nulla	nullus	PROind	Case=Nom|Numb=Sing|Gend=Fem
omnino	omnino	ADV	Deg=Pos
vestrum	uos	PROper	Case=Gen|Numb=Plur
sorores	soror	NOMcom	Case=Nom|Numb=Plur
dilectissimae	dilectus2	ADJqua	Case=Nom|Numb=Sing|Gend=Fem|Deg=Sup
ex	ex	PRE	MORPH=empty
quo	qui1	PROrel	Case=Abl|Numb=Sing|Gend=MascNeut
deum	deus	NOMcom	Case=Acc|Numb=Sing
vivum	uiuus2	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
cognovisset	cognosco	VER	Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
sua	suus	PROpos.ref	Case=Abl|Numb=Sing|Gend=Fem
id	is	PROdem	Case=Nom|Numb=Sing|Gend=Neut
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
de	de	PRE	MORPH=empty
feminae	femina	NOMcom	Case=Gen|Numb=Sing
conditione	conditio	NOMcom	Case=Abl|Numb=Sing
didicisset	disco	VER	Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
laetiorem	laetus2	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Comp
habitum	habitus?	VER	Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
ne	ne4	CONsub	MORPH=empty
dicam	dico2	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
gloriosiorem	gloriosus	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Comp
appetisset	appeto	VER	Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
ut	ut4	CONsub	MORPH=empty
non	non	ADVneg	MORPH=empty
magis	magis2	ADV	Deg=Comp
in	in	PRE	MORPH=empty
sordibus	sordes	NOMcom	Case=Abl|Numb=Plur
ageret	ago	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
squalorem	squalor	NOMcom	Case=Acc|Numb=Sing
potius	potius	ADV	Deg=Comp
affectaret	affecto	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
ipsam	ipse	PROdem	Case=Acc|Numb=Sing|Gend=Fem
se	sui1	PROref	Case=Acc|Numb=Sing
circumferens	circumfero	VER	Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
Evam	Eua	NOMpro	Case=Acc|Numb=Sing
lugentem	lugeo	VER	Case=Acc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
et	et2	CONcoo	MORPH=empty
paenitentem	paeniteo	VER	Case=Acc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
quo	qui5	CONsub	Numb=Sing
plenius	plene	ADV	Numb=Sing|Deg=Comp
id	is	PROdem	Case=Acc|Numb=Sing|Gend=Neut
quod	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Neut
de	de	PRE	MORPH=empty
Eva	eua	NOMpro	Case=Abl|Numb=Sing
trahit	traho	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ignominiam	ignominia	NOMcom	Case=Acc|Numb=Sing
dico	dico2	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
primi	primus	ADJord	Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Sup
delicti	delictum	NOMcom	Case=Gen|Numb=Sing
et	et2	CONcoo	MORPH=empty
invidiam	inuidia	NOMcom	Case=Acc|Numb=Sing
perditionis	perditio	NOMcom	Case=Gen|Numb=Sing
humanae	humanus	ADJqua	Case=Gen|Numb=Sing|Gend=Fem|Deg=Pos
omni	omnis	PROind	Case=Abl|Numb=Sing|Gend=Com
satisfactionis	satisfactio	NOMcom	Case=Gen|Numb=Sing
habitu	habitus1	NOMcom	Case=Abl|Numb=Sing
expiaret	expio	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
In	in	PRE	MORPH=empty
doloribus	dolor	NOMcom	Case=Abl|Numb=Plur
et	et2	CONcoo	MORPH=empty
anxietatibus	anxietas	NOMcom	Case=Abl|Numb=Plur
paris	par2	ADJqua	Case=Gen|Numb=Sing|Gend=Com|Deg=Pos
mulier	mulier	NOMcom	Case=Nom|Numb=Sing
et	et2	CONcoo	MORPH=empty
ad	ad2	PRE	MORPH=empty
virum	uir	NOMcom	Case=Acc|Numb=Sing
tuum	tuus	PROpos	Case=Acc|Numb=Sing|Gend=MascNeut
conversio	conuersio	NOMcom	Case=Nom|Numb=Sing
tua	tuus	PROpos	Case=Nom|Numb=Sing|Gend=Fem
et	et2	CONcoo	MORPH=empty
ille	ille	PROdem	Case=Nom|Numb=Sing|Gend=Masc
dominatur	dominor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
tui	tuus	PROpos	Case=Gen|Numb=Sing
Et	et2	CONcoo	MORPH=empty
Evam	Eua	NOMpro	Case=Acc|Numb=Sing
te	tu	PROper	Case=Acc|Numb=Sing
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act
nescis	nescio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
Vivit	uiuo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sententia	sententia	NOMcom	Case=Nom|Numb=Sing
dei	deus	NOMcom	Case=Gen|Numb=Sing
super	super2	PRE	MORPH=empty
sexum	sexus	NOMcom	Case=Acc|Numb=Sing
istum	iste	PROdem	Case=Acc|Numb=Sing|Gend=Masc
in	in	PRE	MORPH=empty
