form	lemma	POS	morph
Inter	inter	PRE	MORPH=empty
carnis	caro1	NOMcom	Case=Gen|Numb=Plur
alimenta	alimentum	NOMcom	Case=Acc|Numb=Plur
benedicti	benedico2	VER	Case=Nom|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
martyres	martyr	NOMcom	Case=Nom|Numb=Plur
designati	designo	VER	Case=Nom|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
quae	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Neut
vobis	uos	PROper	Case=Dat|Numb=Plur
et	et2	CONcoo	MORPH=empty
domina	domina	NOMcom	Case=Nom|Numb=Sing
mater	mater	NOMcom	Case=Nom|Numb=Sing
ecclesia	ecclesia	NOMcom	Case=Nom|Numb=Sing
de	de	PRE	MORPH=empty
uberibus	uber1	NOMcom	Case=Abl|Numb=Plur
suis	suus	PROpos.ref	Case=Abl|Numb=Plur|Gend=Com
et	et2	CONcoo	MORPH=empty
singuli	singulus	ADJdis	Case=Nom|Numb=Plur|Gend=Masc
fratres	frater	NOMcom	Case=Nom|Numb=Plur
de	de	PRE	MORPH=empty
opibus	ops	NOMcom	Case=Abl|Numb=Plur
suis	suus	PROpos.ref	Case=Abl|Numb=Plur|Gend=Com
propriis	proprius	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
in	in	PRE	MORPH=empty
carcerem	carcer	NOMcom	Case=Acc|Numb=Sing
subministrant	subministro	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
capite	caput	NOMcom	Case=Abl|Numb=Sing
aliquid	aliquis	PROind	Case=Acc|Numb=Sing|Gend=Neut
et	et2	CONcoo	MORPH=empty
a	ab	PRE	MORPH=empty
nobis	nos	PROper	Case=Abl|Numb=Plur
quod	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Neut
faciat	facio	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ad	ad2	PRE	MORPH=empty
spiritum	spiritus	NOMcom	Case=Acc|Numb=Sing
quoque	quoque	ADV	Deg=Pos
educandum	educo1	VER	Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass
Carnem	caro1	NOMcom	Case=Acc|Numb=Sing
enim	enim2	CONcoo	MORPH=empty
saginari	sagino	VER	Mood=Inf|Tense=Pres|Voice=Pass
et	et2	CONcoo	MORPH=empty
spiritum	spiritus	NOMcom	Case=Acc|Numb=Sing
esurire	esurio2	VER	Mood=Inf|Tense=Pres|Voice=Act
non	non	ADVneg	MORPH=empty
prodest	prosum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Immo	immo	ADV	Deg=Pos
si	si2	CONsub	MORPH=empty
quod	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Neut
infirmum	infirmus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
curatur	curo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
aeque	aeque	ADV	Deg=Pos
quod	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Neut
infirmius	infirmus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Comp
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
neglegi	negligo	VER	Mood=Inf|Tense=Pres|Voice=Pass
non	non	ADVneg	MORPH=empty
debet	debeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Nec	nec2	CONcoo	MORPH=empty
tantus	tantus	PROdem	Case=Nom|Numb=Sing|Gend=Masc
ego	ego	PROper	Case=Nom|Numb=Sing
sum	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
ut	ut4	CONsub	MORPH=empty
vos	uos	PROper	Case=Acc|Numb=Plur
alloquar	alloquor	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Dep|Person=1
Verumtamen	uerumtamen	ADV	Deg=Pos
et	et2	CONcoo	MORPH=empty
gladiatores	gladiator	NOMcom	Case=Acc|Numb=Plur
perfectissimos	perfectus2	ADJqua	Case=Acc|Numb=Plur|Gend=Masc|Deg=Sup
non	non	ADVneg	MORPH=empty
tantum	tantum2	ADV	Deg=Pos
magistri	magister	NOMcom	Case=Nom|Numb=Plur
et	et2	CONcoo	MORPH=empty
praepositi	praepono	NOMcom	Case=Gen|Numb=Plur|Gend=MascNeut
sui	suus	PROpos.ref	Case=Nom|Numb=Sing
sed	sed	CONcoo	MORPH=empty
etiam	etiam	ADV	Deg=Pos
idiotae	idiota	NOMcom	Case=Nom|Numb=Plur
et	et2	CONcoo	MORPH=empty
supervacue	superuacue	ADV	Numb=Plur|Deg=Pos
quique	qui	PROrel	Case=Nom|Numb=Plur|Gend=Masc
{quique}	que	CON	MORPH=empty
adhortantur	adhortor	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
de	de	PRE	MORPH=empty
longinquo	longinquum1	NOMcom	Case=Abl|Numb=Sing
ut	ut4	CONsub	MORPH=empty
saepe	saepe	ADV	Deg=Pos
de	de	PRE	MORPH=empty
ipso	ipse	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut
populo	populus1	NOMcom	Case=Abl|Numb=Sing
dictata	dicto	VER	Case=Abl|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
suggesta	suggero	VER	Case=Nom|Numb=Plur
profuerint	prosum1	VER	Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3
Inprimis	imprimis	ADV	Deg=Pos
ergo	ergo2	CONcoo	MORPH=empty
benedicti	benedico2	VER	Case=Nom|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
nolite	nolo	VER	Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
contristare	contristo	VER	Mood=Inf|Tense=Pres|Voice=Act
spiritum	spiritus	NOMcom	Case=Acc|Numb=Sing
sanctum	sanctus	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
vobiscum	uos	PROper	Case=Abl|Numb=Plur
{vobiscum}	cum3	CON	MORPH=empty
introiit	introeo1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
carcerem	carcer	NOMcom	Case=Acc|Numb=Sing
Si	si2	CONsub	MORPH=empty
enim	enim2	CONcoo	MORPH=empty
non	non	ADVneg	MORPH=empty
vobiscum	uos	PROper	Case=Abl|Numb=Plur
{vobiscum}	cum3	CON	MORPH=empty
nunc	nunc	ADV	Deg=Pos
introisset	introeo1	VER	Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
nec	neque	CONcoo	MORPH=empty
