form	lemma	POS	morph
Principes	princeps1	NOMcom	Case=Voc|Numb=Plur
semper	semper	ADV	Deg=Pos
Africae	Africa	NOMpro	Case=Gen|Numb=Sing
viri	uir	NOMcom	Case=Voc|Numb=Plur
Carthaginienses	Carthaginienses	ADJqua	Case=Voc|Numb=Plur
vetustate	uetustas	NOMcom	Case=Abl|Numb=Sing
nobiles	nobilis2	ADJqua	Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos
novitate	nouitas	NOMcom	Case=Abl|Numb=Sing
felices	felix	ADJqua	Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos
gaudeo	gaudeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=SemDep|Person=1
vos	uos	PROper	Case=Acc|Numb=Plur
tam	tam	ADV	Deg=Pos
prosperos	prosper	ADJqua	Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos
temporum	tempus1	NOMcom	Case=Gen|Numb=Plur
cum	cum3	CONsub	MORPH=empty
ita	ita	ADV	Deg=Pos
vacat	uaco	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ac	ac1	CONcoo	MORPH=empty
iuvat	iuuo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
habitus	habitus1	NOMcom	Case=Acc|Numb=Plur
denotare	denoto	VER	Mood=Inf|Tense=Pres|Voice=Act
Pacis	pax	NOMcom	Case=Gen|Numb=Sing
haec	hic1	PROdem	Case=Nom|Numb=Plur|Gend=Neut
et	et2	CONcoo	MORPH=empty
annonae	annona	NOMcom	Case=Gen|Numb=Sing
otia	otium	NOMcom	Case=Acc|Numb=Plur
Ab	ab	PRE	MORPH=empty
imperio	imperium	NOMcom	Case=Abl|Numb=Sing
et	et2	CONcoo	MORPH=empty
a	ab	PRE	MORPH=empty
caelo	caelum1	NOMcom	Case=Abl|Numb=Sing
bene	bene	ADV	Deg=Pos
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Tamen	tamen	ADV	Deg=Pos
et	et2	CONcoo	MORPH=empty
vobis	uos	PROper	Case=Dat|Numb=Plur
habitus	habitus?	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
aliter	aliter	ADV	Deg=Pos
olim	olim	ADV	Deg=Pos
tunicae	tunica	NOMcom	Case=Nom|Numb=Plur
fuere	sum1	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
quidem	quidem	ADV	Deg=Pos
in	in	PRE	MORPH=empty
fama	fama	NOMcom	Case=Abl|Numb=Sing
de	de	PRE	MORPH=empty
subteminis	subtemen	NOMcom	Case=Gen|Numb=Plur
studio	studium	NOMcom	Case=Abl|Numb=Sing
et	et2	CONcoo	MORPH=empty
luminis	lumen	NOMcom	Case=Gen|Numb=Sing
concilio	concilium	NOMcom	Case=Abl|Numb=Sing
et	et2	CONcoo	MORPH=empty
